Keynumber,Helmholtzname,Scientificname,Frequency (Hz),Corresponding Open Strings,Corresponding Open Strings,Corresponding Open Strings,Corresponding Open Strings,Corresponding Open Strings
Keynumber,Helmholtzname,Scientificname,Frequency (Hz),Violin,Viola,Cello,Bass,Guitar
108,b′′′′′,B8,7902.133,,,,,
107,a♯′′′′′/b♭′′′′′,A♯8/B♭8,7458.620,,,,,
106,a′′′′′,A8,7040.000,,,,,
105,g♯′′′′′/a♭′′′′′,G♯8/A♭8,6644.875,,,,,
104,g′′′′′,G8,6271.927,,,,,
103,f♯′′′′′/g♭′′′′′,F♯8/G♭8,5919.911,,,,,
102,f′′′′′,F8,5587.652,,,,,
101,e′′′′′,E8,5274.041,,,,,
100,d♯′′′′′/e♭′′′′′,D♯8/E♭8,4978.032,,,,,
99,d′′′′′,D8,4698.636,,,,,
98,c♯′′′′′/d♭′′′′′,C♯8/D♭8,4434.922,,,,,
88,c′′′′′ 5-line octave,C8 Eighth octave,4186.009,,,,,
87,b′′′′,B7,3951.066,,,,,
86,a♯′′′′/b♭′′′′,A♯7/B♭7,3729.310,,,,,
85,a′′′′,A7,3520.000,,,,,
84,g♯′′′′/a♭′′′′,G♯7/A♭7,3322.438,,,,,
83,g′′′′,G7,3135.963,,,,,
82,f♯′′′′/g♭′′′′,F♯7/G♭7,2959.955,,,,,
81,f′′′′,F7,2793.826,,,,,
80,e′′′′,E7,2637.020,,,,,
79,d♯′′′′/e♭′′′′,D♯7/E♭7,2489.016,,,,,
78,d′′′′,D7,2349.318,,,,,
77,c♯′′′′/d♭′′′′,C♯7/D♭7,2217.461,,,,,
76,c′′′′ 4-line octave,C7 Double high C,2093.005,,,,,
75,b′′′,B6,1975.533,,,,,
74,a♯′′′/b♭′′′,A♯6/B♭6,1864.655,,,,,
73,a′′′,A6,1760.000,,,,,
72,g♯′′′/a♭′′′,G♯6/A♭6,1661.219,,,,,
71,g′′′,G6,1567.982,,,,,
70,f♯′′′/g♭′′′,F♯6/G♭6,1479.978,,,,,
69,f′′′,F6,1396.913,,,,,
68,e′′′,E6,1318.510,,,,,
67,d♯′′′/e♭′′′,D♯6/E♭6,1244.508,,,,,
66,d′′′,D6,1174.659,,,,,
65,c♯′′′/d♭′′′,C♯6/D♭6,1108.731,,,,,
64,c′′′ 3-line octave,C6 Soprano C (High C),1046.502,,,,,
63,b′′,B5,987.7666,,,,,
62,a♯′′/b♭′′,A♯5/B♭5,932.3275,,,,,
61,a′′,A5,880.0000,,,,,
60,g♯′′/a♭′′,G♯5/A♭5,830.6094,,,,,
59,g′′,G5,783.9909,,,,,
58,f♯′′/g♭′′,F♯5/G♭5,739.9888,,,,,
57,f′′,F5,698.4565,,,,,
56,e′′,E5,659.2551,E,,,,
55,d♯′′/e♭′′,D♯5/E♭5,622.2540,,,,,
54,d′′,D5,587.3295,,,,,
53,c♯′′/d♭′′,C♯5/D♭5,554.3653,,,,,
52,c′′ 2-line octave,C5 Tenor C,523.2511,,,,,
51,b′,B4,493.8833,,,,,
50,a♯′/b♭′,A♯4/B♭4,466.1638,,,,,
49,a′,A4 A440,440.0000,A,A,,,
48,g♯′/a♭′,G♯4/A♭4,415.3047,,,,,
47,g′,G4,391.9954,,,,,
46,f♯′/g♭′,F♯4/G♭4,369.9944,,,,,
45,f′,F4,349.2282,,,,,
44,e′,E4,329.6276,,,,,High E
43,d♯′/e♭′,D♯4/E♭4,311.1270,,,,,
42,d′,D4,293.6648,D,D,,,
41,c♯′/d♭′,C♯4/D♭4,277.1826,,,,,
40,c′ 1-line octave,C4 Middle C,261.6256,,,,,
39,b,B3,246.9417,,,,,B
38,a♯/b♭,A♯3/B♭3,233.0819,,,,,
37,a,A3,220.0000,,,A,,
36,g♯/a♭,G♯3/A♭3,207.6523,,,,,
35,g,G3,195.9977,G,G,,,G
34,f♯/g♭,F♯3/G♭3,184.9972,,,,,
33,f,F3,174.6141,,,,,
32,e,E3,164.8138,,,,,
31,d♯/e♭,D♯3/E♭3,155.5635,,,,,
30,d,D3,146.8324,,,D,,D
29,c♯/d♭,C♯3/D♭3,138.5913,,,,,
28,c small octave,C3,130.8128,,C,,,
27,B,B2,123.4708,,,,,
26,A♯/B♭,A♯2/B♭2,116.5409,,,,,
25,A,A2,110.0000,,,,,A
24,G♯/A♭,G♯2/A♭2,103.8262,,,,,
23,G,G2,97.99886,,,G,G,
22,F♯/G♭,F♯2/G♭2,92.49861,,,,,
21,F,F2,87.30706,,,,,
20,E,E2,82.40689,,,,,Low E
19,D♯/E♭,D♯2/E♭2,77.78175,,,,,
18,D,D2,73.41619,,,,D,
17,C♯/D♭,C♯2/D♭2,69.29566,,,,,
16,C great octave,C2 Deep C,65.40639,,,C,,
15,B͵,B1,61.73541,,,,,Low B (7 string)
14,A♯͵/B♭͵,A♯1/B♭1,58.27047,,,,,
13,A͵,A1,55.00000,,,,A,
12,G♯͵/A♭͵,G♯1/A♭1,51.91309,,,,,
11,G͵,G1,48.99943,,,,,
10,F♯͵/G♭͵,F♯1/G♭1,46.24930,,,,,
9,F͵,F1,43.65353,,,,,
8,E͵,E1,41.20344,,,,E,
7,D♯͵/E♭͵,D♯1/E♭1,38.89087,,,,,
6,D͵,D1,36.70810,,,,,
5,C♯͵/D♭͵,C♯1/D♭1,34.64783,,,,,
4,C͵ contra-octave,C1 Pedal C,32.70320,,,,,
3,B͵͵,B0,30.86771,,,,B (5 string),
2,A♯͵͵/B♭͵͵,A♯0/B♭0,29.13524,,,,,
1,A͵͵,A0,27.50000,,,,,
97,G♯͵͵/A♭͵͵,G♯0/A♭0,25.95654,,,,,
96,G͵͵,G0,24.49971,,,,,
95,F♯͵͵/G♭͵͵,F♯0/G♭0,23.12465,,,,,
94,F͵͵,F0,21.82676,,,,,
93,E͵͵,E0,20.60172,,,,,
92,D♯͵͵/E♭͵͵,D♯0/E♭0,19.44544,,,,,
91,D͵͵,D0,18.35405,,,,,
90,C♯͵͵/D♭͵͵,C♯0/D♭0,17.32391,,,,,
89,C͵͵ sub-contra-octave,C0 Double Pedal C,16.35160,,,,,
